0x1000 {}
0x129b {806,806,28,28,5,5}
0x129c {8178,174,16,10,5}
0x129d {1007,1007,17,17,4,4}
0x129e {182,182,8,8,3,3}
0x129f {2542,2542,21,6,6,5,1}
0x12a1 {107,107,6,6}
0x12a2 {1010,1010,21,21}
0x12a3 {7148,107,23,6,4}
0x12a5 {56,56,13,13,12}
0x12a6 {7652,86,29,6,6}
0x12a7 {4082,4082,9,9,6,6}
0x12a9 {8178,60,11,7,3}
0x12aa {8178,132,2,2,2}
0x12ab {71,71,6,6,2,2}
0x12ac {6128,138,18,9,6}
0x12ad {4082,4082,13,13,4,4}
0x12ae {3543,3543,25,25,2,2}
0x12af {2622,126,21,5,2,2,2}
0x12b1 {8178,223,26,11,5}
0x12b2 {7652,49,24,8,5}
0x12b3 {3924,3924,16,16,3,3}
0x12b4 {1765,37,29,15,3}
0x12b5 {4081,4081,18,18,5,5}
0x12b6 {498,498,13,13,3,3}
0x12b7 {1940,82,22,9,7,3,2}
0x12b9 {2654,2654,14,14,3,3}
0x12ba {3893,3893,16,16,2,2}
0x12bb {8178,189,25,3,3,3,2}
0x12bc {302,302,21,21,3,3}
0x12bd {421,11,11,7,5,3,2}
0x12be {917,917,11,5,2,2,2}
0x12bf {167,167,15,15,2,2,1,1}
0x12c1 {3924,3924,30,30}
0x12c2 {197,197,9,9}
0x12c3 {8178,114,13,5,5}
0x12c5 {8178,168,4,4,4}
0x12c6 {2374,35,30,5,5}
0x12c7 {731,731,7,7,5,5}
0x12c9 {1772,130,23,7,3}
0x12ca {8178,45,7,5,5}
0x12cb {3242,3242,3,3,3,3}
0x12cc {8178,62,33,8,3}
0x12cd {4081,4081,12,12,3,3}
0x12ce {80,80,5,5,4,4}
0x12cf {8178,5,5,5,5,3,1}
0x12d1 {2374,75,34,12,5}
0x12d2 {6128,51,27,10,3}
0x12d3 {4081,4081,17,17,4,4}
0x12d5 {497,497,23,23,7,7}
0x12d6 {2031,2031,23,23,3,3}
0x12d7 {8178,134,30,4,4,3,2}
0x12d9 {359,359,20,20,3,3}
0x12da {50,50,50,50,3,3}
0x12db {1892,202,15,8,3,2,2}
0x12dc {113,113,17,17,3,3}
0x12dd {2542,2542,8,6,3,2,2}
0x12de {8178,130,28,8,3,3,2}
0x12df {498,498,6,6,3,3,1,1}
0x12e1 {2622,71,17,16,5}
0x12e2 {8178,72,7,7,7}
0x12e3 {302,302,10,10,3,3}
0x12e5 {15,15,3,3,3,3}
0x12e6 {4082,4082,32,32,4,4}
0x12e7 {8178,108,39,3,3,3,1}
0x12e9 {242,242,15,15,4,4}
0x12ea {239,239,5,5,2,2}
0x12eb {8178,139,27,3,3,3,2}
0x12ec {260,260,14,14,3,3}
0x12ed {1892,157,21,13,3,2,2}
0x12ee {7148,227,20,5,5,3,2}
0x12ef {4081,4081,24,24,3,3,1,1}
0x12f1 {3053,3053,17,17,4,4}
0x12f2 {498,498,14,14,3,3}
0x12f3 {421,25,9,3,3,3,1}
0x12f4 {123,123,8,8,3,3}
0x12f5 {8178,96,20,12,7,3,2}
0x12f6 {266,266,11,11,3,3,2}
0x12f7 {4082,4082,18,18,3,3,1,1}
0x12f9 {7988,202,13,13,7,3,1}
0x12fa {7892,90,43,5,2,2,2}
0x12fb {4079,4079,8,8,3,3,1,1}
0x12fc {2542,2542,27,10,3,3,1}
0x12fd {3924,3924,12,12,3,3,1,1}
0x12fe {3797,3797,21,21,2,2,1,1}
0x12ff {113,113,22,8,1,1,1,1,1}
0x1301 {8178,249,33}
0x1302 {8178,12,12}
0x1303 {113,113,17,17}
0x1305 {1351,1351,19,19}
0x1306 {50,50,11,11}
0x1307 {1511,87,17,8,1}
0x1309 {32,32,5,5}
0x130a {2027,2027,21,21}
0x130b {1568,276,27,13,5}
0x130c {72,72,9,9}
0x130d {7892,114,22,6,5}
0x130e {1772,159,7,7,6}
0x130f {421,421,9,9,1,1}
0x1311 {4081,4081,22,22}
0x1312 {1289,1289,11,11}
0x1313 {352,352,29,4,4}
0x1315 {6128,156,25,11,4}
0x1316 {8178,219,30,12,4}
0x1317 {3924,3924,4,4,4,4}
0x1319 {876,876,13,13,3}
0x131a {1082,101,6,6,6}
0x131b {1511,1511,13,13,4,4}
0x131c {6128,225,8,8,6}
0x131d {242,242,14,14,4,4}
0x131e {4081,4081,6,6,5,5}
0x131f {8178,96,12,9,1,1,1}
0x1321 {182,182,12,12}
0x1322 {4081,4081,30,30}
0x1323 {344,344,21,11,5}
0x1325 {8178,108,7,7,3}
0x1326 {7988,26,26,10,3}
0x1327 {4079,4079,16,16,4,4}
0x1329 {8178,57,29,6,3}
0x132a {6128,105,31,13,3}
0x132b {3924,3924,12,12,3,3}
0x132c {8178,77,30,13,3}
0x132d {197,197,7,7,3,3}
0x132e {3924,3924,10,10,6,6}
0x132f {452,57,23,5,5,3,1}
0x1331 {6128,132,21,12,3}
0x1332 {2542,2542,22,8,3}
0x1333 {4081,4081,17,17,3,3}
0x1335 {498,498,23,23,3,3}
0x1336 {47,47,9,9,3,3}
0x1337 {7148,76,13,4,4,4,1}
0x1339 {1003,1003,20,20,3,3}
0x133a {498,498,8,8,3,3}
0x133b {8178,58,22,6,4,3,1}
0x133c {3797,3797,25,25,6,6}
0x133d {8178,126,28,12,5,5,1}
0x133e {7148,107,8,8,6,3,1}
0x133f {1010,1010,7,7,1,1,1,1}
0x1341 {2591,2591,14,14}
0x1342 {1352,1352,16,16}
0x1343 {8178,191,19,10,5}
0x1345 {92,92,17,8,4}
0x1346 {3053,153,5,5,4}
0x1347 {4082,4082,13,13,4,4}
0x1349 {8178,67,22,4,3}
0x134a {1765,55,15,6,6}
0x134b {3797,3797,29,29,4,4}
0x134d {4082,4082,16,16,3,3}
0x134e {607,607,3,3,3,3}
0x134f {6128,52,34,4,4,3,1}
0x1351 {297,297,13,5,5}
0x1352 {407,35,23,13,5}
0x1353 {497,497,12,12,3,3}
0x1355 {3893,3893,16,16,3,3}
0x1356 {242,242,9,9,4,4}
0x1357 {7148,4,4,4,4,4,2}
0x1359 {806,806,18,18,3,3}
0x135a {3053,3053,20,20,4,4}
0x135b {8178,111,36,4,4,2,2}
0x135c {498,498,10,10,4,4}
0x135d {1940,106,23,11,5,2,2}
